C4BE84	Texas Instruments.
000C4D	Curtiss-Wright Controls Avionics & Electronics
E039D7	Plexxi, Inc.
B8F828	Changshu Gaoshida Optoelectronic Technology Co. Ltd.
707C18	ADATA Technology Co., Ltd
000CEC	Spectracom Corp.
000AA8	ePipe Pty. Ltd.
988BAD	Corintech Ltd.
001020	Hand Held Products Inc
001BC5	IEEE REGISTRATION AUTHORITY  - Please see OUI36/MA-S public listing for more information.
0040C9	NCUBE
0060AB	LARSCOM INCORPORATED
4CBB58	Chicony Electronics Co., Ltd.
0014FD	Thecus Technology Corp.
000BF8	Infinera
4C72B9	Pegatron Corporation
0016FC	TOHKEN CO.,LTD.
001F5D	Nokia Danmark A/S
0020D0	VERSALYNX CORPORATION
001840	3 Phoenix, Inc.
001B84	Scan Engineering Telecom
0017FF	PLAYLINE Co.,Ltd.
0008CA	TwinHan Technology Co.,Ltd
00C0C9	ELSAG BAILEY PROCESS
C4DA26	NOBLEX SA
6886E7	Orbotix, Inc.
148FC6	Apple
7C2F80	Gigaset Communications GmbH
00056A	Heuft Systemtechnik GmbH
0002E8	E.D.&A.
244597	GEMUE Gebr. Mueller Apparatebau
00185D	TAIGUEN TECHNOLOGY (SHEN-ZHEN) CO., LTD.
00220F	MoCA (Multimedia over Coax Alliance)
182032	Apple
00134A	Engim, Inc.
2091D9	IM SPA
001B51	Vector Technology Corp.
00E0A5	ComCore Semiconductor, Inc.
00E08E	UTSTARCOM
00602C	LINX Data Terminals, Inc.
00C0B8	FRASERS HILL LTD.
0030EC	BORGARDT
4C3909	HPL Electric & Power Private Limited
0011D5	Hangzhou Sunyard System Engineering Co.,Ltd.
001B38	COMPAL INFORMATION (KUNSHAN) CO., LTD.
00E03F	JATON CORPORATION
00142A	Elitegroup Computer System Co., Ltd
00178A	DARTS TECHNOLOGIES CORP.
0C826A	Wuhan Huagong Genuine Optics Technology Co., Ltd
000ADF	Gennum Corporation
708105	CISCO SYSTEMS, INC.
001540	Nortel
000378	HUMAX Co., Ltd.
0CE82F	Bonfiglioli Vectron GmbH
F025B7	Samsung Electro Mechanics co., LTD.
F4672D	ShenZhen Topstar Technology Company
001C70	NOVACOMM LTDA
000DCA	Tait Electronics
6C2C06	OOO NPP Systemotechnika-NN
74F413	Maxwell Forest
0008FF	Trilogy Communications Ltd
2C600C	QUANTA COMPUTER INC.
0481AE	Clack Corporation
000F3F	Big Bear Networks
0005B7	Arbor Technology Corp.
001B71	Telular Corp.
00244C	Solartron Metrology Ltd
48022A	B-Link Electronic Limited
001812	Beijing Xinwei Telecom Technology Co., Ltd.
000713	IP One, Inc.
482CEA	Motorola Inc Business Light Radios
000EF9	REA Elektronik GmbH
00063B	Arcturus Networks Inc.
000FBC	Onkey Technologies, Inc.
001EF6	CISCO SYSTEMS, INC.
08007B	SANYO ELECTRIC CO. LTD.
0020E7	B&W NUCLEAR SERVICE COMPANY
002445	CommScope Canada Inc.
000256	Alpha Processor, Inc.
000183	ANITE TELECOMS
90AC3F	BrightSign LLC
B4A4E3	CISCO SYSTEMS, INC.
00211E	ARRIS Group, Inc.
0080C2	IEEE 802.1 COMMITTEE
001128	Streamit
00227F	Ruckus Wireless
00608B	ConferTech International
001BC2	Integrated Control Technology Limitied
A8FB70	WiseSec L.t.d
948FEE	Hughes Telematics, Inc.
0017C7	MARA Systems Consulting AB
D4AAFF	MICRO WORLD
0004D9	Titan Electronics, Inc.
4CD7B6	Helmer Scientific
0007FD	LANergy Ltd.
7C9763	Openmatics s.r.o.
003009	Tachion Networks, Inc.
44E49A	OMNITRONICS PTY LTD
000BDD	TOHOKU RICOH Co., LTD.
B8BF83	Intel Corporate
24240E	Apple
001AC6	Micro Control Designs
0010CD	INTERFACE CONCEPT
0024D4	FREEBOX SA
0025F0	Suga Electronics Limited
7CA61D	MHL, LLC
001C42	Parallels, Inc.
000F0A	Clear Edge Networks
0019CD	Chengdu ethercom information technology Ltd.
00A0F0	TORONTO MICROELECTRONICS INC.
7C4CA5	BSkyB Ltd
809393	Xapt GmbH
A0FC6E	Telegrafia a.s.
002106	RIM Testing Services
001129	Paradise Datacom Ltd.
000CBD	Interface Masters, Inc
B8D9CE	Samsung Electronics
4C6255	SANMINA-SCI SYSTEM DE MEXICO S.A. DE C.V.
9876B6	Adafruit
000518	Jupiters Technology
001D67	AMEC
0004BA	KDD Media Will Corporation
0080DD	GMX INC/GIMIX
081443	UNIBRAIN S.A.
00C00E	PSITECH, INC.
ACF97E	ELESYS INC.
00040F	Asus Network Technologies, Inc.
001B08	Danfoss Drives A/S
002497	CISCO SYSTEMS, INC.
0011D9	TiVo
D44C24	Vuppalamritha Magnetic Components LTD
00164D	Alcatel North America IP Division
000560	LEADER COMM.CO., LTD
000532	CISCO SYSTEMS, INC.
00090F	Fortinet Inc.
001828	e2v technologies (UK) ltd.
002321	Avitech International Corp
58F39C	Cisco
081651	Shenzhen Sea Star Technology Co.,Ltd
000E91	Navico Auckland Ltd
E0CEC3	ASKEY COMPUTER CORP
00122E	Signal Technology - AISD
000500	CISCO SYSTEMS, INC.
A4F522	CHOFU SEISAKUSHO CO.,LTD
C8979F	Nokia Corporation
28E347	Liteon Technology Corporation
8C34FD	Huawei Technologies Co., Ltd
544A00	Cisco
000DE5	Samsung Thales
001E80	Last Mile Ltd.
FC52CE	Control iD
F866D1	Hon Hai Precision Ind. Co., Ltd.
7032D5	Athena Wireless Communications Inc
0021AC	Infrared Integrated Systems Ltd
68AB8A	RF IDeas
000F3D	D-Link Corporation
50B695	Micropoint Biotechnologies,Inc.
0008C9	TechniSat Digital GmbH
0023B5	ORTANA LTD
009010	SIMULATION LABORATORIES, INC.
F0CBA1	Apple
988E4A	NOXUS(BEIJING) TECHNOLOGY CO.,LTD
000181	Nortel Networks
001413	Trebing & Himstedt Proze脽automation GmbH & Co. KG
0050B7	BOSER TECHNOLOGY CO., LTD.
000448	Polaroid Corporation
10C37B	ASUSTek COMPUTER INC.
0030F2	CISCO SYSTEMS, INC.
94772B	Huawei Technologies Co., Ltd
00047D	Pelco
CC34D7	GEWISS S.P.A.
70D4F2	RIM
001A7E	LN Srithai Comm Ltd.
DCA989	MACANDC
0026D6	Ningbo Andy Optoelectronic Co., Ltd.
0002E2	NDC Infared Engineering
00C0BA	NETVANTAGE
A42940	Shenzhen YOUHUA Technology Co., Ltd
002553	Pirelli Tyre S.p.A.
00163A	YVES TECHNOLOGY CO., LTD.
AC4723	Genelec
F81D93	Longdhua(Beijing) Controls Technology Co.,Ltd
00909D	NovaTech Process Solutions, LLC
0080F8	MIZAR, INC.
00308B	Brix Networks
00089D	UHD-Elektronik
041BBA	Samsung Electronics Co.,Ltd
28987B	Samsung Electronics Co.,Ltd
AC8317	Shenzhen Furtunetel Communication Co., Ltd
00606B	Synclayer Inc.
C4731E	Samsung Eletronics Co., Ltd
28C0DA	Juniper Networks
001FD9	RSD Communications Ltd
003069	IMPACCT TECHNOLOGY CORP.
0090F6	ESCALATE NETWORKS, INC.
0007B5	Any One Wireless Ltd.
002542	Pittasoft
BCE767	Quanzhou  TDX Electronics Co., Ltd
00147B	Iteris, Inc.
001B57	SEMINDIA SYSTEMS PRIVATE LIMITED
000F1D	Cosmo Techs Co., Ltd.
F842FB	Yasuda Joho Co.,ltd.
2891D0	Stage Tec Entwicklungsgesellschaft f眉r professionelle Audiotechnik mbH
283410	Enigma Diagnostics Limited
000904	MONDIAL electronic
34885D	Logitech Far East
00164B	Quorion Data Systems GmbH
001C1E	emtrion GmbH
00C04E	COMTROL CORPORATION
001BF4	KENWIN INDUSTRIAL(HK) LTD.
DC9C52	Sapphire Technology Limited.
C0EEFB	OnePlus Tech (Shenzhen) Ltd
001164	ACARD Technology Corp.
40B3FC	Logital Co. Limited
00163E	Xensource, Inc.
64F50E	Kinion Technology Company Limited
0012B3	Advance Wireless Technology Corp.
001260	Stanton Magnetics,inc.
001739	Bright Headphone Electronics Company
002449	Shen Zhen Lite Star Electronics Technology Co., Ltd
0023B3	Lyyn AB
04C05B	Tigo Energy
149A10	Microsoft Corporation
E8B748	CISCO SYSTEMS, INC.
643F5F	Exablaze
001652	Hoatech Technologies, Inc.
3828EA	Fujian Netcom Technology Co., LTD
000640	White Rock Networks
000ED3	Epicenter, Inc.
0006D2	Tundra Semiconductor Corp.
000262	Soyo Group Soyo Com Tech Co., Ltd
002317	Lasercraft Inc
001071	ADVANET INC.
001C39	S Netsystems Inc.
0001DA	WINCOMM Corporation
006047	CISCO SYSTEMS, INC.
D00492	Fiberhome Telecommunication Technologies Co.,LTD
CC2A80	Micro-Biz intelligence solutions Co.,Ltd
84802D	Cisco
704AE4	Rinstrum Pty Ltd
00E666	ARIMA Communications Corp.
708B78	citygrow technology co., ltd
6083B2	GkWare e.K.
144146	Honeywell (China) Co., LTD
001564	BEHRINGER Spezielle Studiotechnik GmbH
00D024	Cognex Corporation
0008D4	IneoQuest Technologies, Inc
D069D0	Verto Medical Solutions, LLC
AC3FA4	TAIYO YUDEN CO.,LTD
C8CBB8	Hewlett Packard
70188B	Hon Hai Precision Ind. Co.,Ltd.
0023DB	saxnet gmbh
000BCA	DATAVAN International Corporation
00191A	IRLINK
001B00	Neopost Technologies
000DEA	Kingtel Telecommunication Corp.
006007	ACRES GAMING, INC.
D8C068	Netgenetech.co.,ltd.
001A67	Infinite QL Sdn Bhd
0030C6	CONTROL SOLUTIONS, INC.
3C4C69	Infinity System S.L.
0016D7	Sunways AG
000064	Yokogawa Electric Corporation
001D72	Wistron Corporation
DC5E36	Paterson Technology
009038	FOUNTAIN TECHNOLOGIES, INC.
DC16A2	Medtronic Diabetes
001279	Hewlett-Packard Company
F45595	HENGBAO Corporation LTD.
D87EB1	x.o.ware, inc.
04C9D9	EchoStar Technologies Corp
000E64	Elphel, Inc
D48DD9	Meld Technology, Inc
603FC5	COX CO., LTD
0017F8	Motech Industries Inc.
0090C4	JAVELIN SYSTEMS, INC.
B8B94E	Shenzhen iBaby Labs, Inc.
00150E	OPENBRAIN TECHNOLOGIES CO., LTD.
001011	CISCO SYSTEMS, INC.
E8E732	Alcatel-Lucent
00267A	wuhan hongxin telecommunication technologies co.,ltd
00A000	CENTILLION NETWORKS, INC.
ACFDCE	Intel Corporate
00247D	Nokia Danmark A/S
A056B2	Harman/Becker Automotive Systems GmbH
A87E33	Nokia Danmark A/S
0060EC	HERMARY OPTO ELECTRONICS INC.
0080DB	GRAPHON CORPORATION
3CA9F4	Intel Corporate
001FFD	Indigo Mobile Technologies Corp.
001133	Siemens Austria SIMEA
001CE4	EleSy JSC
00090A	SnedFar Technology Co., Ltd.
000FAF	Dialog Inc.
000146	Tesco Controls, Inc.
F008F1	Samsung Electronics Co.,Ltd
001778	Central Music Co.
3CD9CE	Eclipse WiFi
00257D	PointRed Telecom Private Ltd.
CCF9E8	Samsung Electronics Co.,Ltd
000C20	Fi WIn, Inc.
948B03	EAGET Innovation and Technology Co., Ltd.
000089	CAYMAN SYSTEMS INC.
C46E1F	TP-LINK TECHNOLOGIES CO.,LTD
002601	Cutera Inc
00E0EB	DIGICOM SYSTEMS, INCORPORATED
00270F	Envisionnovation Inc
0011C5	TEN Technology
000CA7	Metro (Suzhou) Technologies Co., Ltd.
00091C	CacheVision, Inc
843497	Hewlett Packard
3C5AB4	Google
A0DE05	JSC "Irbis-T"
00039F	CISCO SYSTEMS, INC.
002451	CISCO SYSTEMS, INC.
00167D	Sky-Line Information Co., Ltd.
005007	SIEMENS TELECOMMUNICATION SYSTEMS LIMITED
00228F	CNRS
08B4CF	Abicom International
000618	DigiPower Manufacturing Inc.
00056B	C.P. Technology Co., Ltd.
001AAE	Savant Systems LLC
00304C	APPIAN COMMUNICATIONS, INC.
D4136F	Asia Pacific Brands
001F0C	Intelligent Digital Services GmbH
0030AF	Honeywell GmbH
68122D	Special Instrument Development Co., Ltd.
389496	Samsung Elec Co.,Ltd
0002F4	PCTEL, Inc.
0060E4	COMPUSERVE, INC.
001F2E	Triangle Research Intl Pte Ltd
B40B44	Smartisan Technology Co., Ltd.
0004C0	CISCO SYSTEMS, INC.
1CC316	MileSight Technology Co., Ltd.
00162B	Togami Electric Mfg.co.,Ltd.
001F82	Cal-Comp Electronics & Communications Co., Ltd
008033	EMS Aviation, Inc.
7C2E0D	Blackmagic Design
001782	LoBenn Inc.
0017A1	3soft inc.
DC1D9F	U & B tech
E8718D	Elsys Equipamentos Eletronicos Ltda
C455C2	Bach-Simpson
0022EE	Algo Communication Products Ltd
FC3288	CELOT Wireless Co., Ltd
3010E4	Apple, Inc.
000E74	Solar Telecom. Tech
34CDBE	Huawei Technologies Co., Ltd
0000EB	MATSUSHITA COMM. IND. CO. LTD.
0060BD	HUBBELL-PULSECOM
0090F9	LEITCH
0011E7	WORLDSAT - Texas de France
8CCDA2	ACTP, Inc.
30055C	Brother industries, LTD.
00122C	Soenen Controls N.V.
0004EC	Memobox SA
0001D0	VitalPoint, Inc.
CCF538	3isysnetworks
001958	Bluetooth SIG, Inc.
B0C287	Technicolor CH USA Inc
FC1D59	I Smart Cities HK Ltd
3CDA2A	zte corporation
0025A9	Shanghai Embedway Information Technologies Co.,Ltd
00E099	SAMSON AG
001794	CISCO SYSTEMS, INC.
949BFD	Trans New Technology, Inc.
7C7A53	Phytrex Technology Corp.
00062D	TouchStar Technologies, L.L.C.
B4B676	Intel Corporate
0026E0	ASITEQ
0025C5	Star Link Communication Pvt. Ltd.
0005F7	Analog Devices, Inc.
001847	AceNet Technology Inc.
000ED6	CISCO SYSTEMS, INC.
001C51	Celeno Communications
ECC38A	Accuenergy (CANADA) Inc
000812	GM-2 Corporation
005000	NEXO COMMUNICATIONS, INC.
78A504	Texas Instruments
6828F6	Vubiq Networks, Inc.
0018A4	ARRIS Group, Inc.
0014F6	Juniper Networks, Inc.
C40F09	Hermes electronic GmbH
C0A39E	EarthCam, Inc.
8CBFA6	Samsung Electronics Co.,Ltd
001F20	Logitech Europe SA
CCB3F8	FUJITSU ISOTEC LIMITED
D04F7E	Apple
E09153	XAVi Technologies Corp.
0001BC	Brains Corporation
002165	Presstek Inc.
000D6D	K-Tech Devices Corp.
D47B35	NEO Monitors AS
001E90	Elitegroup Computer Systems Co
001D16	SFR
002039	SCINETS
001039	Vectron Systems AG
00044C	JENOPTIK
0006F2	Platys Communications
84DB2F	Sierra Wireless Inc
001E9B	San-Eisha, Ltd.
140C76	FREEBOX SAS
D8E743	Wush, Inc
001803	ArcSoft Shanghai Co. LTD
000157	SYSWAVE CO., LTD
0024A3	Sonim Technologies Inc
782EEF	Nokia Corporation
0016C2	Avtec Systems Inc
000A16	Lassen Research
0022E1	ZORT Labs, LLC.
4423AA	Farmage Co., Ltd.
00144F	Oracle Corporation
0023E9	F5 Networks, Inc.
D4CA6D	Routerboard.com
002173	Ion Torrent Systems, Inc.
5C8FE0	ARRIS Group, Inc.
0025BA	Alcatel-Lucent IPD
0021C6	CSJ Global, Inc.
042F56	ATOCS (Shenzhen) LTD
0024CD	Willow Garage, Inc.
008061	LITTON SYSTEMS, INC.
D890E8	Samsung Electronics Co.,Ltd
20858C	Assa
E00B28	Inovonics
AC3D05	Instorescreen Aisa
0080E8	CUMULUS CORPORATIION
00220D	CISCO SYSTEMS, INC.
001189	Aerotech Inc
0023AA	HFR, Inc.
001264	daum electronic gmbh
001726	m2c Electronic Technology Ltd.
002201	Aksys Networks Inc
00B08E	CISCO SYSTEMS, INC.
20F3A3	Huawei Technologies Co., Ltd
00194B	SAGEM COMMUNICATION
00022A	Asound Electronic
B4FC75	SEMA Electronics(HK) CO.,LTD
8C53F7	A&D ENGINEERING CO., LTD.
20918A	PROFALUX
001C0D	G-Technology, Inc.
001E02	Sougou Keikaku Kougyou Co.,Ltd.
0010B2	COACTIVE AESTHETICS
0002A8	Air Link Technology
3059B7	Microsoft
FC2A54	Connected Data, Inc.
000184	SIEB & MEYER AG
001CEC	Mobilesoft (Aust.) Pty Ltd
E8617E	Liteon Technology Corporation
00073D	Nanjing Postel Telecommunications Co., Ltd.
BC764E	Rackspace US, Inc.
001AA6	Telefunken Radio Communication Systems GmbH &CO.KG
542696	Apple
38C7BA	CS Services Co.,Ltd.
0001D2	inXtron, Inc.
0010FA	Apple
00409B	HAL COMPUTER SYSTEMS INC.
0008B0	BKtel communications GmbH
0026E5	AEG Power Solutions
000010	SYTEK INC.
BCD177	TP-LINK TECHNOLOGIES CO.,LTD.
104780	HUAWEI TECHNOLOGIES CO.,LTD
A00CA1	SKTB SKiT
BC83A7	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LT
002490	Samsung Electronics Co.,LTD
000F3B	Fuji System Machines Co., Ltd.
543D37	Ruckus Wireless
1008B1	Hon Hai Precision Ind. Co.,Ltd.
E85D6B	Luminate Wireless
202564	PEGATRON CORPORATION
00D0E9	Advantage Century Telecommunication Corp.
001FBB	Xenatech Co.,LTD
0023E5	IPaXiom Networks
000F2E	Megapower International Corp.
00D088	ARRIS Group, Inc.
000364	Scenix Semiconductor, Inc.
000487	Cogency Semiconductor, Inc.
002494	Shenzhen Baoxin Tech CO., Ltd.
001716	Qno Technology Inc.
0017F0	SZCOM Broadband Network Technology Co.,Ltd
000FE2	Hangzhou H3C Technologies Co., Ltd.
000374	Control Microsystems
0080CF	EMBEDDED PERFORMANCE INC.
C8A729	SYStronics Co., Ltd.
001EC6	Obvius Holdings LLC
B4E9B0	Cisco
002615	Teracom Limited
0090B8	ROHDE & SCHWARZ GMBH & CO. KG
000C2A	OCTTEL Communication Co., Ltd.
000692	Intruvert Networks, Inc.
382B78	ECO PLUGS ENTERPRISE CO., LTD
D07E28	Hewlett Packard
000D7E	Axiowave Networks, Inc.
00203D	Honeywell ECC
00174A	SOCOMEC
000AFD	Kentec Electronics
00176C	Pivot3, Inc.
0023C8	TEAM-R
FCFE77	Hitachi Reftechno, Inc.
4011DC	Sonance
702B1D	E-Domus International Limited
80FA5B	CLEVO CO.
0015FD	Complete Media Systems
00152B	CISCO SYSTEMS, INC.
00200A	SOURCE-COMM CORP.
0024FE	AVM GmbH
0CC47A	Super Micro Computer, Inc.
00E044	LSICS CORPORATION
000F74	Qamcom Technology AB
186571	Top Victory Electronics (Taiwan) Co., Ltd.
F84F57	Cisco
000296	Lectron Co,. Ltd.
0002AB	CTC Union Technologies Co., Ltd.
00902A	COMMUNICATION DEVICES, INC.
F4600D	Panoptic Technology, Inc
002438	Brocade Communications Systems, Inc
00D632	GE Energy
609217	Apple
D05FB8	Texas Instruments
000265	Virditech Co. Ltd.
000C48	QoStek Corporation
ECC882	CISCO SYSTEMS, INC.
B80B9D	ROPEX Industrie-Elektronik GmbH
001EDB	Giken Trastem Co., Ltd.
98E79A	Foxconn(NanJing) Communication Co.,Ltd.
00206B	KONICA MINOLTA HOLDINGS, INC.
002268	Hon Hai Precision Ind. Co., Ltd.
00232C	Senticare
34BCA6	Beijing Ding Qing Technology, Ltd.
000C52	Roll Systems Inc.
00809C	LUXCOM, INC.
00D0AE	ORESIS COMMUNICATIONS, INC.
001711	GE Healthcare Bio-Sciences AB
785262	Shenzhen Hojy Software Co., Ltd.
00074F	CISCO SYSTEMS, INC.
68974B	Shenzhen Costar Electronics Co. Ltd.
001098	STARNET TECHNOLOGIES, INC.
00087D	CISCO SYSTEMS, INC.
000D02	NEC Platforms, Ltd.
000897	Quake Technologies
7CBFB1	ARRIS Group, Inc.
0025EC	Humanware
000C98	LETEK Communications Inc.
001A47	Agami Systems, Inc.
00403F	SSANGYONG COMPUTER SYSTEMS
0011C6	Seagate Technology
C47B2F	Beijing JoinHope Image Technology Ltd.
C42F90	Hangzhou Hikvision Digital Technology Co.,Ltd.
582EFE	Lighting Science Group
3CDFA9	ARRIS Group, Inc.
00D0F5	ORANGE MICRO, INC.
5C35DA	There Corporation Oy
08EB29	Jiangsu Huitong Group Co.,Ltd.
00C0C4	COMPUTER OPERATIONAL
34BDFA	Cisco SPVTG
00E0BF	TORRENT NETWORKING TECHNOLOGIES CORP.
A45DA1	ADB Broadband Italia
001D47	Covote GmbH & Co KG
001860	SIM Technology Group Shanghai Simcom Ltd.,
28C7CE	Cisco
00E0F7	CISCO SYSTEMS, INC.
00E02B	EXTREME NETWORKS
1883BF	Arcadyan Technology Corporation
D4F513	Texas Instruments
002311	Gloscom Co., Ltd.
000A30	Visteon Corporation
0030BE	City-Net Technology, Inc.
0090E1	TELENA S.P.A.
001DC6	SNR Inc.
2C67FB	ShenZhen Zhengjili Electronics Co., LTD
001D49	Innovation Wireless Inc.
BC0543	AVM GmbH
BC74D7	HangZhou JuRu Technology CO.,LTD
644346	GuangDong Quick Network Computer CO.,LTD
5CCA32	Theben AG
0000A8	STRATUS COMPUTER INC.
002394	Samjeon
00D02A	Voxent Systems Ltd.
002181	Si2 Microsystems Limited
000C16	Concorde Microsystems Inc.
E4E0C5	Samsung Electronics Co., LTD
001724	Studer Professional Audio GmbH
641E81	Dowslake Microsystems
001A41	INOCOVA Co.,Ltd
3065EC	Wistron (ChongQing)
001623	Interval Media
E8D0FA	MKS Instruments Deutschland GmbH
00073C	Telecom Design
000950	Independent Storage Corporation
00118B	Alcatel-Lucent, Enterprise Business Group
000270	Crewave Co., Ltd.
00E045	TOUCHWAVE, INC.
0090A8	NineTiles Networks, Ltd.
002149	China Daheng Group ,Inc.
001287	Digital Everywhere Unterhaltungselektronik GmbH
000EB1	Newcotech,Ltd
50FC30	Treehouse Labs
00D011	PRISM VIDEO, INC.
001ACE	YUPITERU CORPORATION
C88447	Beautiful Enterprise Co., Ltd
C816BD	HISENSE ELECTRIC CO.,LTD.
A40BED	Carry Technology Co.,Ltd
000588	Sensoria Corp.
005077	PROLIFIC TECHNOLOGY, INC.
001ECA	Nortel
D4E8B2	Samsung Electronics
000684	Biacore AB
001637	CITEL SpA
006085	Storage Concepts
005032	PICAZO COMMUNICATIONS, INC.
B0ACFA	Fujitsu Limited
EC6264	Global411 Internet Services, LLC
00505B	KAWASAKI LSI U.S.A., INC.
8C705A	Intel Corporate
78DDD6	c-scape
00201D	KATANA PRODUCTS
988B5D	SAGEM COMMUNICATION
E4751E	Getinge Sterilization AB
B8FF61	Apple
0024BC	HuRob Co.,Ltd
08002E	METAPHOR COMPUTER SYSTEMS
0020BA	CENTER FOR HIGH PERFORMANCE
009025	BAE Systems Australia (Electronic Systems) Pty Ltd
00A06B	DMS DORSCH MIKROSYSTEM GMBH
000576	NSM Technology Ltd.
3863BB	Hewlett Packard
0090C6	OPTIM SYSTEMS, INC.
505065	TAKT Corporation
34DBFD	Cisco
0015CA	TeraRecon, Inc.
000659	EAL (Apeldoorn) B.V.
00177E	Meshcom Technologies Inc.
001506	Neo Photonics
0021F8	Enseo, Inc.
000A38	Apani Networks
002170	Dell Inc
0050B4	SATCHWELL CONTROL SYSTEMS, LTD
0019C3	Qualitrol
0050A7	CISCO SYSTEMS, INC.
001220	Cadco Systems
0017B1	ACIST Medical Systems, Inc.
3C46D8	TP-LINK TECHNOLOGIES CO.,LTD.
044665	Murata Manufacturing Co., Ltd.
8081A5	TONGQING COMMUNICATION EQUIPMENT (SHENZHEN) Co.,Ltd
000A88	InCypher S.A.
5C1193	Seal One AG
0008F8	UTC CCS
0030A6	VIANET TECHNOLOGIES, LTD.
0005B9	Airvana, Inc.
48C093	Xirrus, Inc.
000D64	COMAG Handels AG
000A05	Widax Corp.
C0E54E	DENX Computer Systems GmbH
000BDC	AKCP
004020	TE Connectivity Ltd.
B47356	Hangzhou Treebear Networking Co., Ltd.
9CC077	PrintCounts, LLC
001345	Eaton Corporation
0019E5	Lynx Studio Technology, Inc.
909864	Impex-Sat GmbH&amp;Co KG
001921	Elitegroup Computer System Co.
84183A	Ruckus Wireless
000441	Half Dome Systems, Inc.
00909C	ARRIS Group, Inc.
00E0CE	ARN
009090	I-BUS
000C34	Vixen Co., Ltd.
001CF4	Media Technology Systems Inc
00C093	ALTA RESEARCH CORP.
BC6784	Environics Oy
00064E	Broad Net Technology Inc.
002023	T.C. TECHNOLOGIES PTY. LTD
00065C	Malachite Technologies, Inc.
00804C	CONTEC CO., LTD.
7CED8D	MICROSOFT
443C9C	Pintsch Tiefenbach GmbH
8C0CA3	Amper
00806A	ERI (EMPAC RESEARCH INC.)
001B5A	Apollo Imaging Technologies, Inc.
C8C50E	Shenzhen Primestone Network Technologies.Co., Ltd.
4455B1	HUAWEI TECHNOLOGIES CO.,LTD
B075D5	ZTE Corporation
000097	EMC Corporation
0017D2	THINLINX PTY LTD
9034FC	Hon Hai Precision Ind. Co.,Ltd.
745E1C	PIONEER CORPORATION
0010DC	MICRO-STAR INTERNATIONAL CO., LTD.
002155	CISCO SYSTEMS, INC.
08D42B	Samsung Electronics
002092	CHESS ENGINEERING B.V.
001795	CISCO SYSTEMS, INC.
000C93	Xeline Co., Ltd.
104369	Soundmax Electronic Limited
A4E731	Nokia Corporation
000453	YottaYotta, Inc.
684898	Samsung Electronics Co.,Ltd
001AF6	Woven Systems, Inc.
001CAA	Bellon Pty Ltd
00600F	WESTELL, INC.
0003A6	Traxit Technology, Inc.
681729	Intel Corporate
60E6BC	Sino-Telecom Technology Co.,Ltd.
0019CF	SALICRU, S.A.
00A0F5	RADGUARD LTD.
0011C2	United Fiber Optic Communication
001D37	Thales-Panda Transportation System
0012CC	Bitatek CO., LTD
005097	MMC-EMBEDDED COMPUTERTECHNIK GmbH
94F692	Geminico co.,Ltd.
10D38A	Samsung Electronics Co.,Ltd
000254	WorldGate
00233F	Purechoice Inc
000278	Samsung Electro-Mechanics Co., Ltd.
0CD696	Amimon Ltd
E4C62B	Airware
181725	Cameo Communications, Inc.
002523	OCP Inc.
087695	Auto Industrial Co., Ltd.
001B9B	Hose-McCann Communications
0475F5	CSST
0000A6	NETWORK GENERAL CORPORATION
0012B6	Santa Barbara Infrared, Inc.
001D82	GN A/S (GN Netcom A/S)
0026EB	Advanced Spectrum Technology Co., Ltd.
0020BE	LAN ACCESS CORP.
00D0B0	BITSWITCH LTD.
003057	QTelNet, Inc.
080078	ACCELL CORPORATION
000DAE	SAMSUNG HEAVY INDUSTRIES CO., LTD.
54098D	deister electronic GmbH
406826	Thales UK Limited
BCC6DB	Nokia Corporation
00D02E	COMMUNICATION AUTOMATION CORP.
58BC27	CISCO SYSTEMS, INC.
08E672	JEBSEE ELECTRONICS CO.,LTD.
00DB1E	Albedo Telecom SL
001E1E	Honeywell Life Safety
0040E3	QUIN SYSTEMS LTD
00C0B1	GENIUS NET CO.
0019FF	Finnzymes
001C77	Prodys
74882A	HUAWEI TECHNOLOGIES CO.,LTD
0080F9	HEURIKON CORPORATION
00023F	Compal Electronics, Inc.
0024ED	YT Elec. Co,.Ltd.
CCB8F1	EAGLE KINGDOM TECHNOLOGIES LIMITED
88E161	Art Beijing Science and Technology Development Co., Ltd.
D8B8F6	Nantworks
000006	XEROX CORPORATION
002500	Apple
C0EAE4	Sonicwall
70FF5C	Cheerzing Communication(Xiamen)Technology Co.,Ltd
001822	CEC TELECOM CO.,LTD.
002301	Witron Technology Limited
0819A6	HUAWEI TECHNOLOGIES CO.,LTD
001842	Nokia Danmark A/S
00220E	Indigo Security Co., Ltd.
40667A	mediola - connected living AG
C0A364	3D Systems Massachusetts
00141A	DEICY CORPORATION
008009	JUPITER SYSTEMS, INC.
000A2A	QSI Systems Inc.
000A94	ShangHai cellink CO., LTD
44E4D9	CISCO SYSTEMS, INC.
20934D	Fujian Star-net Communication Co., Ltd
0011C4	Terminales de Telecomunicacion Terrestre, S.L.
0000DB	British Telecommunications plc
0040A5	CLINICOMP INTL.
9C3583	Nipro Diagnostics, Inc
00A042	SPUR PRODUCTS CORP.
6C3C53	SoundHawk Corp
00254D	Singapore Technologies Electronics Limited
0012D8	International Games System Co., Ltd.
00009D	LOCUS COMPUTING CORPORATION
